iter	Logloss
0	0.6775917532
1	0.6639802627
2	0.6520701603
3	0.641096181
4	0.631451348
5	0.6227850771
6	0.6152692941
7	0.6081300596
8	0.6019240611
9	0.596521771
10	0.5912459815
11	0.5868687354
12	0.5832198038
13	0.5796445301
14	0.5763009166
15	0.5733198979
16	0.5705069702
17	0.5680575752
18	0.565712225
19	0.5639612452
20	0.5621123411
21	0.5605363585
22	0.5590980776
23	0.5577688378
24	0.5566394451
25	0.5553846028
26	0.5543091202
27	0.5534024367
28	0.5525000658
29	0.5516673058
30	0.5509440793
31	0.5502676439
32	0.5496378143
33	0.5490146359
34	0.5484549103
35	0.5479115081
36	0.5473943675
37	0.5469386232
38	0.5465403675
39	0.5460882876
40	0.5457144689
41	0.5453561449
42	0.5449995824
43	0.5446481908
44	0.5442599425
45	0.5439573013
46	0.5436679149
47	0.5433233033
48	0.5430385305
49	0.5427276692
50	0.5424643947
51	0.5422647774
52	0.5420405969
53	0.5417609451
54	0.5415799025
55	0.5414176585
56	0.5412834475
57	0.5410834383
58	0.5408340749
59	0.540655298
60	0.5404789157
61	0.5403593259
62	0.5401892722
63	0.540061685
64	0.5399752498
65	0.5398535938
66	0.5397403732
67	0.5396164009
68	0.5395300948
69	0.5394210445
70	0.5393089859
71	0.5392106669
72	0.5390854777
73	0.5389665619
74	0.5388845333
75	0.5387431683
76	0.538647676
77	0.5385477046
78	0.5384008909
79	0.5382926984
80	0.5382003814
81	0.5380927137
82	0.5380035426
83	0.5378562139
84	0.5377706838
85	0.5376920385
86	0.5375738951
87	0.5374553927
88	0.5373769909
89	0.5373409066
90	0.5372684873
91	0.5371470473
92	0.5370775579
93	0.5369630439
94	0.5368829221
95	0.5367797204
96	0.5367455711
97	0.536619551
98	0.5365709421
99	0.5364660647
100	0.5364208716
101	0.5363902742
102	0.5363311788
103	0.536270732
104	0.5361764114
105	0.5361141151
106	0.5360397221
107	0.535965161
108	0.5358948397
109	0.5357907083
110	0.5357008107
111	0.5356658167
112	0.5355914442
113	0.5354772346
114	0.5354010769
115	0.5353109588
